序号,项目名称,项目全名,项目链接,仓库描述,主页网址,项目语言,星标数,Fork数,Watch数,Open_Issues,默认分支,创建时间,更新时间,推送时间,仓库大小_KB,是否为Fork,是否私有,Topics,License,Owner,Owner类型
154,self-improving-skills,ABC1319/self-improving-skills,https://github.com/ABC1319/self-improving-skills,让 Agent skills 从纠错、偏好、复盘和工作流经验中持续自我改进,,,0,0,0,0,main,2026-07-21T00:47:50Z,2026-07-21T00:47:50Z,2026-06-17T04:27:52Z,153,True,False,,MIT,ABC1319,User
155,product-detail-images,ABC1319/product-detail-images,https://github.com/ABC1319/product-detail-images,"Plan and generate complete ecommerce product-detail image series with structured copy, layouts, style options, and quality control.",,,0,0,0,0,main,2026-07-21T00:47:26Z,2026-07-21T00:47:26Z,2026-07-17T10:04:07Z,7716,True,False,,MIT,ABC1319,User
156,AI-news-collector,ABC1319/AI-news-collector,https://github.com/ABC1319/AI-news-collector,"Local-first media source collection skill for AI news, daily briefings, deduplication, and creator workflows.",,,0,0,0,0,main,2026-07-21T00:47:01Z,2026-07-21T00:47:01Z,2026-07-17T10:02:30Z,605,True,False,,MIT,ABC1319,User
157,douyin-video-downloader,ABC1319/douyin-video-downloader,https://github.com/ABC1319/douyin-video-downloader,本地优先的抖音视频、封面、直接音频和用户主页作品列表采集下载 Skill。,,,0,0,0,0,main,2026-07-21T00:46:37Z,2026-07-21T00:46:37Z,2026-07-17T09:56:34Z,71,True,False,,MIT,ABC1319,User
158,ai-image-generator,ABC1319/ai-image-generator,https://github.com/ABC1319/ai-image-generator,通用 AI 生图 skill：原样传递用户提示词，统一调用多种生图接口，并自动匹配常见平台图片尺寸。,,,0,0,0,0,main,2026-07-21T00:46:20Z,2026-07-21T00:46:20Z,2026-07-17T09:36:25Z,49,True,False,,MIT,ABC1319,User
159,warp,ABC1319/warp,https://github.com/ABC1319/warp,"Warp is an agentic development environment, born out of the terminal.",https://warp.dev,,0,0,0,0,master,2026-07-21T00:45:44Z,2026-07-21T00:45:44Z,2026-07-21T00:42:21Z,308766,True,False,,AGPL-3.0,ABC1319,User
160,pot-desktop,ABC1319/pot-desktop,https://github.com/ABC1319/pot-desktop,🌈一个跨平台的划词翻译和OCR软件 | A cross-platform software for text translation and recognition.,https://pot-app.com,,0,0,0,0,master,2026-07-21T00:44:43Z,2026-07-21T00:44:43Z,2026-07-04T11:01:27Z,81387,True,False,,GPL-3.0,ABC1319,User
161,Easydict,ABC1319/Easydict,https://github.com/ABC1319/Easydict,一个简洁优雅的词典翻译 macOS App。开箱即用，支持离线 OCR 识别，支持有道词典，🍎 苹果系统词典，🍎 苹果系统翻译，OpenAI，Gemini，DeepL，Google，Bing，腾讯，百度，阿里，小牛，彩云和火山翻译。A concise and elegant Dictionary and Translator macOS App for looking up words and translating text. ,,,0,0,0,0,dev,2026-07-21T00:44:27Z,2026-07-21T00:44:28Z,2026-07-18T06:15:54Z,164771,True,False,,GPL-3.0,ABC1319,User
162,video-edit-skills,ABC1319/video-edit-skills,https://github.com/ABC1319/video-edit-skills,本地优先的视频剪辑 skill，支持转写、口播剪辑、字幕审核、素材插入和成片验证。,,,0,0,0,0,main,2026-07-21T00:44:09Z,2026-07-21T00:44:09Z,2026-06-24T18:25:15Z,135,True,False,,MIT,ABC1319,User
163,auto-video-maker,ABC1319/auto-video-maker,https://github.com/ABC1319/auto-video-maker,把零散图片、视频、人声、配乐和文案自动组装成音画同步的高品质竖屏短视频。,,,0,0,0,0,main,2026-07-21T00:43:52Z,2026-07-21T00:43:52Z,2026-06-09T09:38:53Z,21,True,False,,MIT,ABC1319,User
164,v2ray-agent,ABC1319/v2ray-agent,https://github.com/ABC1319/v2ray-agent,Xray、Tuic、hysteria2、sing-box 八合一一键脚本,https://www.v2ray-agent.com,,0,0,0,0,master,2026-07-21T00:43:13Z,2026-07-21T00:43:13Z,2026-06-07T13:48:10Z,36305,True,False,,AGPL-3.0,ABC1319,User
165,qiaomu-anything-to-notebooklm,ABC1319/qiaomu-anything-to-notebooklm,https://github.com/ABC1319/qiaomu-anything-to-notebooklm,"Claude Skill: Multi-source content processor for NotebookLM. Supports WeChat articles, web pages, YouTube, PDF, Markdown, search queries → Podcast/PPT/MindMap/Quiz etc.",,,0,0,0,0,main,2026-07-21T00:42:48Z,2026-07-21T00:42:48Z,2026-04-28T01:38:28Z,191,True,False,,MIT,ABC1319,User
166,agent-skill-manager,ABC1319/agent-skill-manager,https://github.com/ABC1319/agent-skill-manager,"Local-first skill management for Codex, Claude Code, OpenClaw, Hermes, and public agent skill directories.",,,0,0,0,0,main,2026-07-21T00:41:05Z,2026-07-21T00:41:05Z,2026-07-17T10:41:34Z,398,True,False,,MIT,ABC1319,User
167,weixin-album-downloader,ABC1319/weixin-album-downloader,https://github.com/ABC1319/weixin-album-downloader,把微信公众号合集批量下载为本地 Markdown，并内置离线 Browser Bridge 扩展准备流程。,,,0,0,0,0,main,2026-07-21T00:40:20Z,2026-07-21T00:40:20Z,2026-07-17T10:46:27Z,79,True,False,,MIT,ABC1319,User
168,wechat-article-downloader,ABC1319/wechat-article-downloader,https://github.com/ABC1319/wechat-article-downloader,通过 Chrome DevTools Protocol 把微信公众号已发表文章批量下载为 HTML+Markdown 双格式。零额外依赖，支持全量/增量/指定日期三种模式。,,,0,0,0,0,main,2026-07-21T00:39:02Z,2026-07-21T00:39:02Z,2026-07-11T12:22:39Z,16,True,False,,MIT,ABC1319,User
169,Link2MD,ABC1319/Link2MD,https://github.com/ABC1319/Link2MD,全程 Vibe Coding 制作。输入网址爬取网页内容并转换为 Markdown，支持微信公众号、CSDN、掘金、牛客网、PubMed、NCBI GEO。支持批量下载（Markdown + 图片打包 ZIP），内置多模型 AI 文章分析 Agent（需自备 API Key）。详情见 README.md。https://link2-md-amber.vercel.app/,https://link2-md.jbt.de5.net/,,0,0,0,0,main,2026-07-21T00:29:24Z,2026-07-21T00:38:17Z,2026-07-15T18:15:51Z,736,True,False,,MIT,ABC1319,User
170,parse-video-py,ABC1319/parse-video-py,https://github.com/ABC1319/parse-video-py,"Python短视频去水印爬虫：抖音,皮皮虾,火山,微视,最右,快手,全民小视频,皮皮搞笑,西瓜视频,虎牙,梨视频,acfun,好看视频...",,,0,0,0,0,main,2026-07-19T09:06:12Z,2026-07-19T09:06:13Z,2026-06-08T16:48:04Z,364,True,False,,MIT,ABC1319,User
171,Jellyfish,ABC1319/Jellyfish,https://github.com/ABC1319/Jellyfish,用于人工智能生成的短剧的端到端制作工作区。从脚本输入到结构化故事板、一致性管理、镜头准备、视频生成和导出。,https://forget-c.github.io/Jellyfish,,0,0,0,0,main,2026-07-19T09:05:15Z,2026-07-19T09:05:52Z,2026-04-20T05:41:44Z,2952,True,False,,Apache-2.0,ABC1319,User
172,wechat-download-api,ABC1319/wechat-download-api,https://github.com/ABC1319/wechat-download-api,一款完全开源的微信公众号文章获取、 RSS 订阅API服务，支持IP代理池反风控，支持mcp接入各种Agent工具。,https://wechatrss.waytomaster.com,,0,0,0,0,main,2026-07-19T09:04:21Z,2026-07-19T09:04:21Z,2026-07-14T05:51:10Z,838,True,False,,AGPL-3.0,ABC1319,User
173,EasyWechatDownload,ABC1319/EasyWechatDownload,https://github.com/ABC1319/EasyWechatDownload,微信公众号文章批量下载工具，支持图片、评论下载，支持保存html/mhtml/md/pdf/docx文件,https://easy-wechat-download.vercel.app/,,0,0,0,0,main,2026-07-19T09:01:41Z,2026-07-19T09:01:42Z,2026-07-14T16:48:34Z,95672,True,False,,MIT,ABC1319,User
174,wechat-mp-tools,ABC1319/wechat-mp-tools,https://github.com/ABC1319/wechat-mp-tools,微信公众号文章自动化抓取下载、视频号高清视频解析、抖音全能下载、小红书下载、快手、B站批量下载,,,0,0,0,0,main,2026-07-19T08:53:51Z,2026-07-19T08:53:52Z,2026-07-18T04:56:37Z,1743,True,False,,NOASSERTION,ABC1319,User
175,wx-kit,ABC1319/wx-kit,https://github.com/ABC1319/wx-kit,"把微信公众号文章下载为多种格式并在应用内浏览;支持按公众号批量爬取,带 CLI 供 AI agent 调用。",,,0,0,0,0,main,2026-07-19T08:51:29Z,2026-07-19T08:51:29Z,2026-07-18T13:26:27Z,16731,True,False,,Apache-2.0,ABC1319,User
176,liKeYun_ylb,ABC1319/liKeYun_ylb,https://github.com/ABC1319/liKeYun_ylb,引流宝致力于为个人、团队提供基于微信私域流量的推广、引流的效率工具。可减轻人力，有效降低资源损失、流量流失的几率。引流宝完全开源，免费，可商用、可任意二次开发。引流宝可以辅助你更好地开展营销活动推广！降低运营成本，提高工作效率，获取更多资源。,,,0,0,0,0,main,2026-07-19T03:42:57Z,2026-07-19T03:42:57Z,2026-07-17T06:54:53Z,13784,True,False,,MIT,ABC1319,User
177,liKeYun_TbkTool,ABC1319/liKeYun_TbkTool,https://github.com/ABC1319/liKeYun_TbkTool,淘宝客工具箱，朋友圈私域流量助手，一个用于朋友圈淘宝客引流工具，致力于淘宝客安全、方便、高效推广！,,,0,0,0,0,master,2026-07-19T03:42:12Z,2026-07-19T03:42:12Z,2022-11-28T09:07:13Z,566,True,False,,,ABC1319,User
178,WovenJunct,ABC1319/WovenJunct,https://github.com/ABC1319/WovenJunct,这是我的博客，早就有的想法终于是实现了😊  欢迎来到我的 Mind Palace !,https://wovenjunct.github.io/,,0,0,0,0,main,2026-07-19T03:35:50Z,2026-07-19T03:35:50Z,2026-06-06T06:38:59Z,31197,True,False,,,ABC1319,User
179,Crash-Course-Computer-Science-Chinese,ABC1319/Crash-Course-Computer-Science-Chinese,https://github.com/ABC1319/Crash-Course-Computer-Science-Chinese,计算机速成课（播放量 504 万） （共40集，每一集 10 分钟）2018 年完成翻译。评论区有大量好评,https://www.bilibili.com/video/av21376839/,,0,0,0,0,master,2026-07-19T03:33:10Z,2026-07-19T03:33:10Z,2026-02-27T08:05:10Z,2294,True,False,,,ABC1319,User
180,DouyinLiveRecorder,ABC1319/DouyinLiveRecorder,https://github.com/ABC1319/DouyinLiveRecorder,可循环值守和多人录制的直播录制软件，支持抖音、TikTok、Youtube、快手、虎牙、斗鱼、B站、小红书、pandatv、sooplive、flextv、popkontv、twitcasting、winktv、百度、微博、酷狗、17Live、Twitch、Acfun、CHZZK、shopee等40+平台直播录制,,,0,0,0,0,main,2026-07-19T03:32:55Z,2026-07-19T03:32:56Z,2026-04-01T14:45:17Z,18622,True,False,,MIT,ABC1319,User
181,Hyperdown-,ABC1319/Hyperdown-,https://github.com/ABC1319/Hyperdown-,Hyperdown — Windows 平台百度网盘高速下载工具，免费开源、不限速、纯净无广告，轻松满速下载网盘文件,,,0,0,0,0,main,2026-07-18T13:36:02Z,2026-07-18T13:36:02Z,2026-02-18T14:09:44Z,20285,True,False,,,ABC1319,User
182,free-for-dev,ABC1319/free-for-dev,https://github.com/ABC1319/free-for-dev,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev,https://free-for.dev/",https://free-for-dev.pages.dev/,HTML,0,0,0,0,master,2026-07-18T11:54:19Z,2026-07-18T11:57:40Z,2026-07-18T11:57:16Z,10229,True,False,,,ABC1319,User
183,itgoyo6,ABC1319/itgoyo6,https://github.com/ABC1319/itgoyo6,"telegram,群组,频道,机器人,telegram群组推荐,telegram频道,telegram机器人,telegram频道推荐,telegram频道开车,电报频道,电报开车,电报福利姬,纸飞机,纸飞机群,纸飞机福利群,纸飞机成年,电报成人,开车,telegram开车,telegrambot,福利姬,群组导航,频道导航,电报导航,开车群,电报开车群,纸飞机开车,纸飞机开车群,https://itgoyo.github.io",https://abc1319.github.io/itgoyo6/,,0,0,0,0,master,2026-07-18T08:53:17Z,2026-07-18T11:32:21Z,2026-07-16T09:12:56Z,5767,True,False,,,ABC1319,User
184,navp,ABC1319/navp,https://github.com/ABC1319/navp,不定期更新个人收藏的优秀站点，欢迎提交PR~，https://nav.you.work.gd,https://navp-5w9.pages.dev/,HTML,0,0,0,0,gh-pages,2026-07-18T10:46:20Z,2026-07-18T11:26:21Z,2026-07-18T11:26:09Z,3943,True,False,,,ABC1319,User
185,wangEditor,ABC1319/wangEditor,https://github.com/ABC1319/wangEditor,"wangEditor, open-source Web rich text editor 开源 Web 富文本编辑器",http://www.wangeditor.com/,,0,0,0,0,master,2026-07-18T11:14:33Z,2026-07-18T11:14:33Z,2024-10-11T07:11:30Z,19165,True,False,,MIT,ABC1319,User
186,navigation3,ABC1319/navigation3,https://github.com/ABC1319/navigation3,前端导航,,,0,0,0,0,master,2026-07-18T11:13:23Z,2026-07-18T11:13:24Z,2017-09-14T02:34:40Z,37744,True,False,,,ABC1319,User
187,navigation-angular,ABC1319/navigation-angular,https://github.com/ABC1319/navigation-angular,前端导航大全,,,0,0,0,0,master,2026-07-18T11:12:14Z,2026-07-18T11:12:15Z,2017-07-26T05:01:47Z,39473,True,False,,,ABC1319,User
188,leeandlee,ABC1319/leeandlee,https://github.com/ABC1319/leeandlee,"this is a fucking index,take it easy",https://abc1319.github.io/leeandlee/,,0,0,0,0,main,2026-07-18T11:07:59Z,2026-07-18T11:08:53Z,2026-03-04T10:04:51Z,678,True,False,,,ABC1319,User
189,link,ABC1319/link,https://github.com/ABC1319/link,https://stbui.github.io/link,https://link-4oz.pages.dev/,,0,0,0,0,main,2026-07-18T10:48:57Z,2026-07-18T10:53:13Z,2026-05-27T08:15:58Z,14097,True,False,,,ABC1319,User
190,chatgpt-web,ABC1319/chatgpt-web,https://github.com/ABC1319/chatgpt-web,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,,,0,0,0,0,main,2026-07-18T10:37:51Z,2026-07-18T10:37:51Z,2024-08-16T15:26:57Z,6223,True,False,,MIT,ABC1319,User
191,awesome-ai-nav,ABC1319/awesome-ai-nav,https://github.com/ABC1319/awesome-ai-nav,AI工具集导航收录了国内外数百个不同类型的AI工具，每日更新和添加最新AI工具，AI工具集还推荐了AI学习开发的常用网站,https://ai.0xnav.com,,0,0,0,0,master,2026-07-18T10:34:30Z,2026-07-18T10:34:30Z,2026-07-08T07:00:14Z,3345,True,False,,,ABC1319,User
192,GooglePlayInstallGuide,ABC1319/GooglePlayInstallGuide,https://github.com/ABC1319/GooglePlayInstallGuide,安装谷歌商店实测教程，详细介绍如何下载安装谷歌三件套（Google Play、Google Play Services、Google Framework Services）,https://link3.cc/suoim,,0,0,0,0,main,2026-07-18T10:32:42Z,2026-07-18T10:32:42Z,2026-06-17T15:30:43Z,311,True,False,,Apache-2.0,ABC1319,User
193,TiktokInstallGuide,ABC1319/TiktokInstallGuide,https://github.com/ABC1319/TiktokInstallGuide,Tiktok下载安装的3种详细教程，可完美使用Tiktok，有实测教程和视频,https://link3.cc/suoim,,0,0,0,0,main,2026-07-18T10:32:08Z,2026-07-18T10:32:08Z,2026-06-17T15:11:32Z,10342,True,False,,Apache-2.0,ABC1319,User
194,TelegramCheckcode,ABC1319/TelegramCheckcode,https://github.com/ABC1319/TelegramCheckcode,实测解决Telegram+86手机号收不到验证码的问题：1、使用接码平台外国手机号注册2、使用俄版的Telegram（Telega），发送到之前绑定的邮箱中,,,0,0,0,0,main,2026-07-18T09:00:47Z,2026-07-18T09:00:47Z,2026-06-27T08:20:11Z,192,True,False,,,ABC1319,User
195,awesome-make-money,ABC1319/awesome-make-money,https://github.com/ABC1319/awesome-make-money,精选 GitHub 上 Star > 200 的赚钱相关开源项目汇总 / A curated list of open-source projects about making money (200+ stars),,,0,0,0,0,main,2026-07-18T08:59:46Z,2026-07-18T08:59:46Z,2026-06-23T03:28:24Z,6,True,False,,MIT,ABC1319,User
196,awesome-ai-api,ABC1319/awesome-ai-api,https://github.com/ABC1319/awesome-ai-api,AI API中转站导航 - 汇聚全网最多的AI中转站大全,,,0,0,0,0,master,2026-07-18T08:58:51Z,2026-07-18T08:58:51Z,2026-06-19T11:21:11Z,5,True,False,,,ABC1319,User
197,aigcpanel,ABC1319/aigcpanel,https://github.com/ABC1319/aigcpanel,AIGCPanel 是一个简单易用的一站式AI数字人系统，支持视频合成、声音合成、声音克隆，简化本地模型管理、一键导入和使用AI模型。,https://aigcpanel.com,,0,0,0,0,main,2026-07-18T08:57:25Z,2026-07-18T08:57:25Z,2026-07-16T15:43:08Z,166332,True,False,,Apache-2.0,ABC1319,User
198,awesome-web3,ABC1319/awesome-web3,https://github.com/ABC1319/awesome-web3,🌐 一站式 Web3 学习资源库 | YouTube博主 · Twitter KOL · 新闻媒体 · 开源项目 · DeFi · NFT · 开发工具 · 持续更新,,,0,0,0,0,main,2026-07-18T08:56:35Z,2026-07-18T08:56:35Z,2026-05-11T08:03:49Z,23,True,False,,,ABC1319,User
199,awesome-agent-skills,ABC1319/awesome-agent-skills,https://github.com/ABC1319/awesome-agent-skills,收集全网最热门的Agent-Skills项目,,,0,0,0,0,master,2026-07-18T08:55:33Z,2026-07-18T08:55:33Z,2026-04-28T09:21:58Z,30,True,False,,,ABC1319,User
200,TelegramGroup,ABC1319/TelegramGroup,https://github.com/ABC1319/TelegramGroup,2026最新悄咪咪收集的10000+个Telegram群合集、tg导航，附全网最有趣好用的机器人BOT🤖【tg10000.com】,https://itgoyo.github.io,,0,0,0,0,master,2026-07-18T08:52:54Z,2026-07-18T08:52:54Z,2026-07-16T09:09:54Z,1681,True,False,,,ABC1319,User
201,TelegramBot,ABC1319/TelegramBot,https://github.com/ABC1319/TelegramBot,持续收集更新全网最全最有趣的Telegram机器人🤖大全，相信总有你需要的一款机器人~,https://tg10000.com,,0,0,0,0,master,2026-07-18T08:51:20Z,2026-07-18T08:51:21Z,2026-07-16T09:11:59Z,655,True,False,,,ABC1319,User
202,itgoyo,ABC1319/itgoyo,https://github.com/ABC1319/itgoyo,"a beautiful template make your github profile look awesome ，give me a star , plz orz",https://itgoyo.github.io,,0,0,0,0,master,2026-07-18T08:49:12Z,2026-07-18T08:49:12Z,2026-07-18T00:26:33Z,1435,True,False,,,ABC1319,User
203,AZLibrary,ABC1319/AZLibrary,https://github.com/ABC1319/AZLibrary,使用 安娜的档案 提供的资源，下载书籍（包括 Z-Library 等），并重命名。,,,0,0,0,0,main,2026-07-18T08:25:45Z,2026-07-18T08:25:45Z,2024-12-04T06:19:45Z,515181,True,False,,,ABC1319,User
204,ChatGPT-On-CS,ABC1319/ChatGPT-On-CS,https://github.com/ABC1319/ChatGPT-On-CS,基于大模型的智能对话客服工具，支持微信、拼多多、千牛、哔哩哔哩、抖音企业号、抖音、抖店、微博聊天、小红书专业号运营、小红书、知乎等平台接入，可选择 GPT3.5/GPT4.0/ 懒人百宝箱 （后续会支持更多平台），能处理文本、语音和图片，通过插件访问操作系统和互联网等外部资源，支持基于自有知识库定制企业 AI 应用。,https://xingsuancn.com/,,0,0,0,0,main,2026-07-18T08:02:09Z,2026-07-18T08:02:09Z,2026-06-06T03:52:08Z,3593,True,False,,AGPL-3.0,ABC1319,User
205,kirara-ai,ABC1319/kirara-ai,https://github.com/ABC1319/kirara-ai,🤖 可 DIY 的 多模态 AI 聊天机器人 | 🚀 快速接入 微信、 QQ、Telegram、等聊天平台 | 🦈支持DeepSeek、Grok、Claude、Ollama、Gemini、OpenAI | 工作流系统、网页搜索、AI画图、人设调教、虚拟女仆、语音对话 | ,https://kirara-docs.app.lss233.com/,,0,0,0,0,master,2026-07-18T06:53:51Z,2026-07-18T06:53:51Z,2025-06-28T19:24:48Z,38791,True,False,,AGPL-3.0,ABC1319,User
206,wechat-miniapp-radar,ABC1319/wechat-miniapp-radar,https://github.com/ABC1319/wechat-miniapp-radar,小程序雷达：AI 驱动的小程序技术选型、趋势追踪和迁移诊断工具,https://miniapp.jjc.fun,,0,0,0,0,main,2026-07-18T06:44:24Z,2026-07-18T06:44:24Z,2026-07-09T01:37:29Z,1470,True,False,,GPL-3.0,ABC1319,User
207,Awesome-GitHub-Repo,ABC1319/Awesome-GitHub-Repo,https://github.com/ABC1319/Awesome-GitHub-Repo,收集整理 GitHub 上高质量、有趣的开源项目。,,,0,0,0,0,main,2026-07-18T06:38:08Z,2026-07-18T06:38:08Z,2026-06-10T02:53:23Z,24,True,False,,CC0-1.0,ABC1319,User
208,md2wechat-skill,ABC1319/md2wechat-skill,https://github.com/ABC1319/md2wechat-skill,Markdown to WeChat CLI | 一键排版发布到微信公众号：支持 40+ 排版样式和专业主题 、AI 配图 、批量发布 、多账号管理,https://md2wechat.cn,,0,0,0,0,main,2026-07-18T06:29:11Z,2026-07-18T06:29:11Z,2026-07-13T15:50:11Z,131643,True,False,,NOASSERTION,ABC1319,User
209,we-mp-rss,ABC1319/we-mp-rss,https://github.com/ABC1319/we-mp-rss,✨符合阅读习惯的微信公众号助手、微信公众号转MarkDown、微信公众号转PDF、定时更新订阅公众号文章、生成微信公众号RSS订阅源、导出微信公众号订阅源、支持微信公众号Webhook/微信公众号API/AI Agent接入微信公众号微信公众号、订阅微信公众号、微信公众号助手 、微信公众号阅读、微信公众号接口、微信公众号爬虫、微信公众号监测、标签订阅微信公众号、微信公众号源、微信公众号读书、微信公众号文章、微信公众号框架、微信公众号管理、微信公众号源、微信公众号平台、微信公众号代码、微信公众号系统、微信公众号源码,https://werss.csol.store,,0,0,0,0,main,2026-07-18T06:27:46Z,2026-07-18T06:27:46Z,2026-06-14T03:44:52Z,202412,True,False,,NOASSERTION,ABC1319,User
210,greasyfork_archives,ABC1319/greasyfork_archives,https://github.com/ABC1319/greasyfork_archives,A historical security and software archaeology archive for Greasyfork.org,https://beak2825.github.io/greasyfork_archives/,,0,0,0,0,main,2026-07-18T06:13:23Z,2026-07-18T06:13:23Z,2026-04-04T01:55:15Z,1186387,True,False,,,ABC1319,User
211,awesome-favorites-list,ABC1319/awesome-favorites-list,https://github.com/ABC1319/awesome-favorites-list,":lollipop: Favorites list - awesome open source projects, websites, books, software etc. | 收藏列表，非常棒的开源项目、网站、书籍、软件等。",https://wang1212.github.io/awesome-favorites-list/,,0,0,0,0,master,2026-07-18T03:52:55Z,2026-07-18T03:52:55Z,2026-05-11T16:21:29Z,93328,True,False,,CC-BY-4.0,ABC1319,User
212,fengyehong123,ABC1319/fengyehong123,https://github.com/ABC1319/fengyehong123,心血来潮的资源整理-闲暇之余就更新，https://fengyehong123.github.io/,https://fengyehong123.pages.dev/,HTML,0,0,0,0,master,2026-07-18T03:43:40Z,2026-07-18T03:51:34Z,2026-07-18T03:50:09Z,1249,True,False,,,ABC1319,User
213,dev-coco,ABC1319/dev-coco,https://github.com/ABC1319/dev-coco,This is a personal website. Please do not fork this project，https://raz1ner.com,https://dev-coco.pages.dev/,HTML,0,0,0,0,main,2026-07-18T03:27:54Z,2026-07-18T03:36:21Z,2026-07-18T03:35:51Z,735054,True,False,,,ABC1319,User
214,oio,ABC1319/oio,https://github.com/ABC1319/oio,,https://oio.15tar.com,,0,0,0,0,master,2026-07-18T02:48:16Z,2026-07-18T02:48:16Z,2026-06-30T11:38:19Z,5133,True,False,,MIT,ABC1319,User
215,tools-site,ABC1319/tools-site,https://github.com/ABC1319/tools-site,This is a repository for tools-site project.,,,0,0,0,0,main,2026-07-18T02:45:10Z,2026-07-18T02:45:10Z,2026-01-11T07:34:29Z,15,True,False,,,ABC1319,User
216,Blue-IT-Tool,ABC1319/Blue-IT-Tool,https://github.com/ABC1319/Blue-IT-Tool,一站式前端开发工具集，提供JSON格式化、HTML预览、截图生成、密码生成、九宫格切图、Base64转换、封面制作等多种在线工具，以及影视、动漫、游戏等站点导航。纯前端静态实现，轻量级部署。,https://blue-it-tool-bfv.pages.dev,,0,0,0,0,main,2026-07-18T01:47:18Z,2026-07-18T02:33:51Z,2026-06-15T03:12:08Z,27462,True,False,,,ABC1319,User
217,yuyue,ABC1319/yuyue,https://github.com/ABC1319/yuyue,鱼阅是一款低打扰的桌面阅读器，专为碎片化小说阅读设计。支持快捷键秒开、窗口伪装、进度自动同步与离线章节缓存。提供“专注计时”与“老板键”双模式，让你在工作间隙快速进入故事，又能随时无痕切换回工作界面,,,0,0,0,0,main,2026-07-18T02:31:24Z,2026-07-18T02:31:24Z,2025-10-17T10:04:52Z,15539,True,False,,,ABC1319,User
218,Cerulean-BLOG,ABC1319/Cerulean-BLOG,https://github.com/ABC1319/Cerulean-BLOG,(Java、Spring Boot、MyBatis、Thymeleaf、Docker、Nginx) 博客站，包含三种主题，后端渲染页面，Dockerfile部署，开源，免费，可作为个人博客，可作为公司官网,,,0,0,0,0,main,2026-07-18T02:30:31Z,2026-07-18T02:30:31Z,2025-12-08T06:09:24Z,181448,True,False,,Apache-2.0,ABC1319,User
219,metapi,ABC1319/metapi,https://github.com/ABC1319/metapi,把你在各处注册的 New API / One API / OneHub / DoneHub / Veloera / AnyRouter / Sub2API 等站点， 汇聚成 一个 API Key、一个入口，自动发现模型、智能路由、成本最优,http://metapi.cita777.me/,,0,0,0,0,main,2026-07-18T01:41:27Z,2026-07-18T01:41:27Z,2026-06-28T19:04:01Z,31023,True,False,,MIT,ABC1319,User
220,open-design,ABC1319/open-design,https://github.com/ABC1319/open-design,"🎨 The open-source Claude Design alternative. 🖥️ Local-first desktop app. 🖼️ Your coding agent becomes the design engine: prototypes, landing pages, dashboards, slides, images & video — real files, HTML/PDF/PPTX/MP4 export. 🤖 Claude Code / Codex / Cursor / Gemini / OpenCode / Qwen & 20+ CLIs via BYOK.",https://open-design.ai,,0,0,0,0,main,2026-07-18T01:25:04Z,2026-07-18T01:25:04Z,2026-07-17T16:41:51Z,1687941,True,False,,Apache-2.0,ABC1319,User
221,v2rayN,ABC1319/v2rayN,https://github.com/ABC1319/v2rayN,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others",https://v2rayn.2dust.link,,0,0,0,0,master,2026-07-17T14:38:55Z,2026-07-17T14:38:56Z,2026-07-17T01:28:28Z,49050,True,False,,GPL-3.0,ABC1319,User
222,Kirameku,ABC1319/Kirameku,https://github.com/ABC1319/Kirameku,一个基于 Next.js 16 + FastAPI 构建的高颜值前后端分离个人博客。毛玻璃设计、暗色模式、说说/杂谈/评论区、GitHub OAuth 登录、RSS 订阅、Markdown 写作、独立后台管理面板，简单部署，一站式开箱即用。,https://boke.hiromu.top,,0,0,0,0,main,2026-07-17T14:36:23Z,2026-07-17T14:36:23Z,2026-06-09T08:51:28Z,230749,True,False,,MIT,ABC1319,User
223,chatgpt-prompts,ABC1319/chatgpt-prompts,https://github.com/ABC1319/chatgpt-prompts,分门别类的 ChatGPT 中文引导语大全。,https://prompts.fresns.cn,,0,0,0,0,main,2026-07-16T02:57:25Z,2026-07-16T02:57:25Z,2025-10-20T16:33:05Z,942,True,False,,CC0-1.0,ABC1319,User
224,cn-lib-resources,ABC1319/cn-lib-resources,https://github.com/ABC1319/cn-lib-resources,公立图书馆免费电子资源清单：国图及各省馆 能否线上注册/远程访问/数字资源目录（人工全量核对）,https://abc1319.github.io/cn-lib-resources/,Python,0,0,0,0,master,2026-07-15T01:00:02Z,2026-07-15T01:31:45Z,2026-07-15T01:31:42Z,579,True,False,,,ABC1319,User
225,humanities-academic-search-skill,ABC1319/humanities-academic-search-skill,https://github.com/ABC1319/humanities-academic-search-skill,面向AI智能体的中英日多语种人文学术论文检索工作流。引用 anon-research-tools/academic-literature-route,,,0,0,0,0,main,2026-07-15T01:06:14Z,2026-07-15T01:06:15Z,2026-06-25T17:32:58Z,14,True,False,,,ABC1319,User
226,obsidian-md-translator,ABC1319/obsidian-md-translator,https://github.com/ABC1319/obsidian-md-translator,Obsidian 插件：整篇 md 调大语言模型翻译生成伴生译文，分块防压缩+并发+可管理提示词模板，多供应商,,,0,0,0,0,master,2026-07-15T01:05:29Z,2026-07-15T01:05:29Z,2026-07-02T11:38:00Z,17,True,False,,,ABC1319,User
